,REPROVACOES_DE,REPROVACOES_EM,REPROVACOES_MF,REPROVACOES_GO,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,H_AULA_PRES,TAREFAS_ONLINE,FALTAS,INGLES,PERFIL,NOME,MATRICULA
162,0,0,0,0,7.3,7.3,7.4,6.4,5,4,5,1.0,MUITO_BOM,NONE,3413251
163,0,0,1,1,6.7,6.7,0.0,0.0,2,0,3,1.0,DIFICULDADE,NONE,3413251
164,0,0,0,0,6.0,5.6,6.3,5.6,4,3,3,1.0,EXATAS,NONE,3413251
165,0,0,0,0,5.1,5.5,5.0,5.2,3,1,3,1.0,DIFICULDADE,NONE,3413251
166,0,0,0,0,8.6,8.3,8.8,8.566666666666668,17,6,1,0.0,EXCELENTE,NONE,3413251
167,0,0,0,0,7.3,7.0,8.5,7.6000000000000005,5,2,1,1.0,HUMANAS,NONE,3413251
168,0,0,0,0,4.8,6.0,4.7,5.166666666666667,2,0,8,1.0,EXATAS,NONE,3413251
169,0,0,0,0,6.8,5.8,5.4,6.0,3,4,4,1.0,EXATAS,NONE,3413251
170,0,0,0,0,5.6,5.9,4.9,5.4,3,2,3,0.0,DIFICULDADE,NONE,3413251
171,3,1,1,1,0.0,0.0,0.0,0.0,6,2,6,1.0,DIFICULDADE,NONE,3413251
172,0,0,0,0,7.4,8.1,6.4,7.2,3,5,1,1.0,EXATAS,NONE,3413251
173,0,0,0,0,5.8,5.6,4.8,4.8,2,2,5,1.0,DIFICULDADE,NONE,3413251
174,0,0,0,0,6.4,5.9,5.4,5.900000000000001,2,3,5,1.0,EXATAS,NONE,3413251
175,0,0,0,0,6.2,5.9,5.9,4.9,3,2,4,1.0,DIFICULDADE,NONE,3413251
176,1,1,3,1,0.0,0.0,0.0,0.0,14,2,1,1.0,DIFICULDADE,NONE,3413251
177,0,0,0,0,6.8,6.4,5.9,6.1,12,5,3,1.0,EXATAS,NONE,3413251
178,1,1,1,1,0.0,0.0,0.0,0.0,4,2,6,1.0,DIFICULDADE,NONE,3413251
179,0,0,0,0,6.1,6.0,6.2,5.9,5,1,6,1.0,EXATAS,NONE,3413251
180,0,0,0,0,7.3,7.7,8.2,8.0,10,5,3,0.0,HUMANAS,NONE,3413251
181,0,0,0,0,6.3,6.6,5.6,5.5,1,2,7,0.0,EXATAS,NONE,3413251
182,0,0,0,0,7.1,6.0,6.7,6.6,11,5,3,0.0,HUMANAS,NONE,3413251
183,0,0,0,0,6.0,5.9,5.9,5.2,2,2,3,0.0,DIFICULDADE,NONE,3413251
184,0,0,0,0,6.4,6.4,5.6,5.8,2,4,5,1.0,EXATAS,NONE,3413251
185,0,0,0,0,7.3,7.4,6.7,6.5,13,5,4,0.0,HUMANAS,NONE,3413251
186,0,0,0,0,6.7,6.4,4.8,5.6,4,2,3,1.0,EXATAS,NONE,3413251
187,0,0,3,1,4.8,5.2,0.0,3.3333333333333335,2,5,4,1.0,DIFICULDADE,NONE,3413251
188,0,0,0,0,6.4,5.4,4.5,4.9,4,5,3,1.0,EXATAS,NONE,3413251
189,0,0,0,0,6.4,5.9,6.9,6.400000000000001,3,2,3,1.0,HUMANAS,NONE,3413251
190,0,0,0,0,7.9,8.1,7.2,6.6,4,0,3,1.0,HUMANAS,NONE,3413251
191,1,1,1,1,0.0,0.0,0.0,0.0,8,5,3,1.0,DIFICULDADE,NONE,3413251
192,0,0,0,0,4.6,5.3,6.7,4.6,9,2,2,1.0,DIFICULDADE,NONE,3413251
193,0,0,0,0,5.4,4.6,5.3,5.7,2,0,3,1.0,DIFICULDADE,NONE,3413251
194,0,0,0,0,6.4,6.3,7.4,6.7,3,2,6,0.0,HUMANAS,NONE,3413251
195,0,0,0,0,7.1,6.5,5.3,6.2,2,2,6,0.0,EXATAS,NONE,3413251
196,1,1,1,1,0.0,0.0,0.0,0.0,2,2,6,1.0,DIFICULDADE,NONE,3413251
197,0,0,0,0,6.9,6.6,6.1,6.533333333333334,5,0,4,0.0,EXATAS,NONE,3413251
198,0,0,0,0,7.1,7.3,6.2,6.2,3,2,4,0.0,EXATAS,NONE,3413251
199,0,0,0,0,5.3,5.7,5.5,5.5,5,2,4,0.0,EXATAS,NONE,3413251
200,0,0,0,0,7.5,7.0,6.9,5.8,17,6,2,0.0,HUMANAS,NONE,3413251
201,0,0,1,1,5.1,5.3,0.0,0.0,9,2,6,1.0,EXATAS,NONE,3413251
202,0,0,0,0,6.9,4.6,5.4,5.4,3,0,4,1.0,DIFICULDADE,NONE,3413251
203,0,0,0,0,7.0,7.7,6.8,7.166666666666667,3,5,3,1.0,MUITO_BOM,NONE,3413251
204,1,1,1,1,0.0,0.0,0.0,0.0,2,2,6,1.0,DIFICULDADE,NONE,3413251
205,0,0,0,0,5.4,5.3,5.0,5.6,3,4,4,1.0,DIFICULDADE,NONE,3413251
206,0,0,0,0,7.8,7.9,8.7,7.7,5,2,2,1.0,EXCELENTE,NONE,3413251
207,0,0,0,0,6.8,7.0,7.4,5.7,2,2,5,1.0,HUMANAS,NONE,3413251
208,0,0,0,0,7.1,7.1,7.3,7.166666666666667,16,5,2,0.0,MUITO_BOM,NONE,3413251
209,1,1,1,1,0.0,0.0,0.0,0.0,3,0,3,0.0,DIFICULDADE,NONE,3413251
210,0,0,0,0,7.8,7.8,7.6,7.1,11,5,4,1.0,HUMANAS,NONE,3413251
211,0,0,0,0,6.5,7.2,7.3,7.0,7,2,5,0.0,HUMANAS,NONE,3413251
212,0,0,0,0,6.0,6.2,4.8,5.5,2,4,4,1.0,EXATAS,NONE,3413251
213,0,0,0,0,6.9,7.7,6.5,7.033333333333334,3,3,2,1.0,EXATAS,NONE,3413251
214,0,0,0,0,7.6,7.7,7.7,7.0,4,4,3,1.0,EXCELENTE,NONE,3413251
215,0,0,0,0,6.9,7.2,5.3,6.4,11,4,2,0.0,EXATAS,NONE,3413251
216,0,0,0,0,6.7,5.7,5.7,6.033333333333334,18,7,2,0.0,EXATAS,NONE,3413251
217,1,3,1,1,0.0,0.0,0.0,0.0,4,2,3,1.0,DIFICULDADE,NONE,3413251
218,1,1,1,3,0.0,0.0,0.0,0.0,4,2,4,1.0,DIFICULDADE,NONE,3413251
219,0,0,0,0,6.6,6.4,4.7,5.900000000000001,3,2,6,0.0,EXATAS,NONE,3413251
220,0,0,0,0,6.3,5.5,6.9,6.2,3,2,4,0.0,DIFICULDADE,NONE,3413251
221,3,1,3,3,0.0,0.0,0.0,0.0,3,3,3,1.0,DIFICULDADE,NONE,3413251
222,1,1,1,3,0.0,0.0,0.0,0.0,3,0,3,1.0,DIFICULDADE,NONE,3413251
223,3,1,3,1,0.0,0.0,0.0,0.0,2,1,7,1.0,DIFICULDADE,NONE,3413251
224,0,0,0,0,6.7,6.9,7.2,6.4,7,2,5,0.0,HUMANAS,NONE,3413251
225,0,0,0,0,7.1,6.9,7.1,6.4,12,6,3,0.0,HUMANAS,NONE,3413251
226,0,0,0,0,6.1,5.4,7.0,5.2,2,2,3,0.0,HUMANAS,NONE,3413251
227,0,0,0,0,7.2,7.3,7.1,6.3,6,5,3,0.0,HUMANAS,NONE,3413251
228,0,0,0,0,6.2,6.5,7.0,6.566666666666666,4,0,4,0.0,HUMANAS,NONE,3413251
229,0,0,0,0,6.7,5.9,5.5,6.033333333333334,4,0,8,1.0,EXATAS,NONE,3413251
230,0,0,0,0,6.7,7.2,5.2,6.366666666666667,5,0,5,1.0,EXATAS,NONE,3413251
231,0,0,0,0,6.0,5.5,5.1,4.3,3,5,3,0.0,DIFICULDADE,NONE,3413251
232,1,3,1,1,0.0,0.0,0.0,0.0,3,2,4,1.0,DIFICULDADE,NONE,3413251
233,0,0,0,0,6.3,4.8,5.5,4.8,2,5,3,1.0,EXATAS,NONE,3413251
234,0,0,0,0,6.9,7.0,6.2,6.4,3,2,3,1.0,EXATAS,NONE,3413251
235,1,1,1,3,0.0,0.0,0.0,0.0,9,4,3,0.0,DIFICULDADE,NONE,3413251
236,0,0,0,0,6.0,5.3,6.4,5.8999999999999995,2,3,4,1.0,EXATAS,NONE,3413251
237,0,0,1,1,6.1,5.8,0.0,0.0,4,3,2,0.0,DIFICULDADE,NONE,3413251
238,0,0,0,0,6.9,6.7,6.4,6.666666666666667,5,5,3,1.0,EXATAS,NONE,3413251
239,0,0,0,0,5.1,7.2,5.6,7.3,4,6,3,1.0,EXATAS,NONE,3413251
240,1,1,1,1,0.0,0.0,0.0,0.0,4,2,6,0.0,DIFICULDADE,NONE,3413251
241,0,0,0,0,6.1,4.9,4.7,5.233333333333333,4,5,5,1.0,EXATAS,NONE,3413251
242,0,0,0,0,6.3,6.6,5.5,6.133333333333333,9,5,1,1.0,EXATAS,NONE,3413251
243,0,0,0,0,5.2,4.8,5.8,6.3,0,3,6,1.0,EXATAS,NONE,3413251
244,1,1,3,1,0.0,0.0,0.0,0.0,8,2,6,1.0,DIFICULDADE,NONE,3413251
245,0,0,0,0,6.9,6.6,5.7,6.1,5,5,1,0.0,EXATAS,NONE,3413251
246,0,0,0,0,6.3,6.7,5.4,5.8,2,4,6,1.0,EXATAS,NONE,3413251
247,0,0,0,0,5.4,5.2,4.9,5.7,5,3,5,1.0,DIFICULDADE,NONE,3413251
248,0,0,0,0,6.5,6.2,5.0,5.8999999999999995,2,3,5,0.0,EXATAS,NONE,3413251
249,0,0,0,0,5.6,6.7,6.7,5.1,3,2,4,1.0,HUMANAS,NONE,3413251
250,0,0,0,0,6.9,6.5,5.3,6.0,2,5,2,1.0,EXATAS,NONE,3413251
251,0,0,0,0,7.1,7.0,5.0,6.5,10,4,4,1.0,EXATAS,NONE,3413251
252,0,0,0,0,6.2,5.7,5.1,4.3,5,5,3,1.0,EXATAS,NONE,3413251
253,0,0,0,0,6.7,6.8,5.0,4.8,4,2,3,1.0,EXATAS,NONE,3413251
254,0,0,0,0,7.4,7.0,6.6,7.0,17,3,5,1.0,MUITO_BOM,NONE,3413251
255,1,1,1,1,0.0,0.0,0.0,0.0,4,3,4,1.0,DIFICULDADE,NONE,3413251
256,0,0,0,0,5.2,5.8,6.4,5.8,3,0,4,1.0,EXATAS,NONE,3413251
257,0,0,0,0,5.5,6.0,4.8,4.9,5,4,3,1.0,DIFICULDADE,NONE,3413251
258,1,1,1,1,0.0,0.0,0.0,0.0,4,0,4,0.0,DIFICULDADE,NONE,3413251
259,0,0,0,0,5.1,5.4,4.5,4.7,2,4,3,1.0,DIFICULDADE,NONE,3413251
260,0,0,0,0,6.0,6.2,7.5,6.1,3,1,6,0.0,HUMANAS,NONE,3413251
261,0,0,0,0,6.7,6.4,5.8,5.2,3,0,8,0.0,EXATAS,NONE,3413251
262,3,1,1,1,0.0,0.0,0.0,0.0,9,5,3,0.0,DIFICULDADE,NONE,3413251
